Id,Temperature (K),Pressure (kPa),Phase,N Components,EnthalpyOfVaporization Value (kJ / mol),EnthalpyOfVaporization Uncertainty (kJ / mol),Source,Component 1,Mole Fraction 1,Exact Amount 1,Role 1,Density Value (g / ml),Density Uncertainty (g / ml)
,298.15,101.325,Liquid + Gas,1,38.64,0.05,10.1039/P29820000565,C1COCCO1,1.0,0,Solvent,,
,298.15,101.325,Liquid,1,,,10.1016/j.jct.2003.09.001,C1COCCO1,1.0,0,Solvent,1.0278800000000003,0.0025
,298.15,101.325,Liquid + Gas,1,31.55,0.0631,10.1135/cccc19790637,CCCCCC,1.0,0,Solvent,,
,298.15,101.325,Liquid,1,,,10.1021/acs.jced.5b00542,CCCCCC,1.0,0,Solvent,0.6590000000000001,0.01
,298.15,101.325,Liquid + Gas,1,35.13,0.0702,10.1135/cccc19790637,CC(C)CC(C)(C)C,1.0,0,Solvent,,
,298.15,101.325,Liquid,1,,,10.1021/acs.jced.6b00019,CC(C)CC(C)(C)C,1.0,0,Solvent,0.6878100000000001,0.008
,298.15,101.325,Liquid + Gas,1,35.62,0.07124,10.1135/cccc19803233,CCOC(C)=O,1.0,0,Solvent,,
,298.15,101.325,Liquid,1,,,10.1021/acs.jced.7b01107,CCOC(C)=O,1.0,0,Solvent,0.8995000000000002,0.005
,298.15,101.325,Liquid + Gas,1,39.83,0.07966,10.1135/cccc19803233,CCCOC(C)=O,1.0,0,Solvent,,
,298.15,101.325,Liquid,1,,,10.1021/acs.jced.7b01107,CCCOC(C)=O,1.0,0,Solvent,0.8860000000000002,0.005
,298.15,101.325,Liquid + Gas,1,32.12,0.0803,10.1016/0021-9614(80)90152-4,CC(C)OC(C)C,1.0,0,Solvent,,
,298.15,101.325,Liquid,1,,,10.1021/acs.jced.5b00527,CC(C)OC(C)C,1.0,0,Solvent,0.7238000000000001,0.003005
,298.15,101.325,Liquid + Gas,1,51.35,0.084,10.3891/acta.chem.scand.20-0536,CCCCCCCCCC,1.0,0,Solvent,,
,298.15,101.325,Liquid,1,,,10.1016/j.jct.2012.07.006,CCCCCCCCCC,1.0,0,Solvent,0.7264700000000002,0.010005
,313.5,101.325,Liquid + Gas,1,42.96,0.08592,10.1135/cccc19803233,CCCCOC(C)=O,1.0,0,Solvent,,
,298.15,101.325,Liquid,1,,,10.1021/je050001c,CCCCOC(C)=O,1.0,0,Solvent,0.8764500000000003,0.002945
,298.15,101.325,Liquid + Gas,1,38.43,0.0961,10.1016/0021-9614(83)90091-5,CCCC(C)=O,1.0,0,Solvent,,
,298.15,101.325,Liquid,1,,,10.1016/j.jct.2016.02.016,CCCC(C)=O,1.0,0,Solvent,0.8019900000000002,0.001005
,298.15,101.325,Liquid + Gas,1,33.02,0.09906,10.1135/cccc19790637,C1CCCCC1,1.0,0,Solvent,,
,298.15,101.325,Liquid,1,,,10.1021/acs.jced.5b00542,C1CCCCC1,1.0,0,Solvent,0.7790000000000001,0.01
,298.15,101.325,Liquid + Gas,1,35.38,0.10614,10.1135/cccc19790637,CC1CCCCC1,1.0,0,Solvent,,
,298.15,101.325,Liquid,1,,,10.1021/acs.jced.6b00019,CC1CCCCC1,1.0,0,Solvent,0.7649500000000002,0.008
